Matrix_Size,N_Threads,Thread,Time
200,10,2,954
200,10,3,952
200,10,4,951
200,10,5,955
200,10,6,960
200,10,7,953
200,10,8,952
200,10,9,962
200,10,0,968
200,10,1,967
200,10,2,966
200,10,3,971
200,10,4,968
200,10,5,966
200,10,6,970
200,10,7,969
200,10,8,974
200,10,9,965
200,10,0,957
200,10,1,957
200,10,2,954
200,10,3,954
200,10,4,955
200,10,5,959
200,10,6,956
200,10,7,957
200,10,8,953
200,10,9,963
200,10,0,955
200,10,1,960
200,10,2,959
200,10,3,954
200,10,4,961
200,10,5,953
200,10,6,955
200,10,7,960
200,10,8,956
200,10,9,966
200,10,0,955
200,10,1,956
200,10,2,955
200,10,3,956
200,10,4,960
200,10,5,959
200,10,6,958
200,10,7,957
200,10,8,958
200,10,9,961
200,10,0,958
200,10,1,956
200,10,2,955
200,10,3,954
200,10,4,954
200,10,5,957
200,10,6,957
200,10,7,955
200,10,8,959
200,10,9,962
200,10,0,952
200,10,1,953
200,10,2,958
200,10,3,956
200,10,4,954
200,10,5,952
200,10,6,955
200,10,7,951
200,10,8,961
200,10,9,955
200,10,0,955
200,10,1,954
200,10,2,949
200,10,3,951
200,10,4,951
200,10,5,953
200,10,6,952
200,10,7,950
200,10,8,955
200,10,9,959
200,10,0,968
200,10,1,966
200,10,2,965
200,10,3,966
200,10,4,964
200,10,5,968
200,10,6,968
200,10,7,971
200,10,8,968
200,10,9,974
200,10,0,958
200,10,1,957
200,10,2,956
200,10,3,959
200,10,4,961
200,10,5,960
200,10,6,956
200,10,7,957
200,10,8,965
200,10,9,960
200,12,0,847
200,12,1,837
200,12,2,841
200,12,3,836
200,12,4,838
200,12,5,842
200,12,6,841
200,12,7,846
200,12,8,840
200,12,9,838
200,12,10,843
200,12,11,840
200,12,0,852
200,12,1,847
200,12,2,851
200,12,3,849
200,12,4,845
200,12,5,849
200,12,6,844
200,12,7,848
200,12,8,846
200,12,9,847
200,12,10,844
200,12,11,856
200,12,0,860
200,12,1,862
200,12,2,859
200,12,3,857
200,12,4,858
200,12,5,855
200,12,6,861
200,12,7,855
200,12,8,867
200,12,9,856
200,12,10,857
200,12,11,860
200,12,0,841
200,12,1,842
200,12,2,841
200,12,3,840
200,12,4,837
200,12,5,839
200,12,6,840
200,12,7,843
200,12,8,838
200,12,9,850
200,12,10,845
200,12,11,843
200,12,0,861
200,12,1,852
200,12,2,854
200,12,3,850
200,12,4,853
200,12,5,856
200,12,6,849
200,12,7,855
200,12,8,852
200,12,9,857
200,12,10,851
200,12,11,860
200,12,0,843
200,12,1,850
200,12,2,846
200,12,3,846
200,12,4,843
200,12,5,854
200,12,6,848
200,12,7,844
200,12,8,848
200,12,9,855
200,12,10,847
200,12,11,845
200,12,0,849
200,12,1,848
200,12,2,845
200,12,3,846
200,12,4,850
200,12,5,845
200,12,6,851
200,12,7,849
200,12,8,851
200,12,9,848
200,12,10,854
200,12,11,858
200,12,0,848
